Player,Team,Att,Gain,Loss,Yds,Avg,Lg,TD,"Stat Type"
"Whop Philyor",IND,5,78,10,68,13.60,29,0,Rushing
"O'Maury Samuels",MICH,13,66,0,66,5.08,18,0,Rushing
"M.J. Rivers II",ILL,49,169,104,65,1.33,12,0,Rushing
"Ikechukwu Ogwuegbu",MD,9,60,0,60,6.67,24,0,Rushing
"Danny Davis III",WISC,4,56,0,56,14.00,37,0,Rushing
"Weston Bridges",MSU,16,56,3,53,3.31,9,0,Rushing
"David Blough",PUR,75,240,188,52,0.69,22t,3,Rushing
"Aron Cruickshank",WISC,6,52,1,51,8.50,23t,1,Rushing
"Tanner Morgan",MINN,41,135,84,51,1.24,11,1,Rushing
"Felton Davis III",MSU,2,50,0,50,25.00,48t,1,Rushing
"Demario McCall",OSU,8,50,0,50,6.25,15,0,Rushing
"Michael Penix Jr.",IND,7,45,0,45,6.43,13,0,Rushing
"Journey Brown",PSU,8,44,0,44,5.50,8,1,Rushing
"KJ Hamler",PSU,4,44,0,44,11.00,32t,1,Rushing
"Trey Sneed",RUT,13,43,0,43,3.31,8,0,Rushing
"Alexander Horvath",PUR,9,43,1,42,4.67,14,1,Rushing
"Andrew Bunch",NEB,16,69,29,40,2.50,23,0,Rushing
"Taivon Jacobs",MD,12,41,3,38,3.17,13,0,Rushing
"Henry Geil",IOWA,15,40,3,37,2.47,7,0,Rushing
"Donovan Peoples-Jones",MICH,3,37,0,37,12.33,25,0,Rushing
"Brian Snead",OSU,11,37,0,37,3.36,5,1,Rushing
"Drake Anderson",NW,12,40,4,36,3.00,11,0,Rushing
"Riley Lees",NW,9,39,4,35,3.89,18,1,Rushing
"Tario Fuller",PUR,14,43,9,34,2.43,12,0,Rushing
"Kyric McGowan",NW,3,38,4,34,11.33,21,0,Rushing
"Peyton Mansell",IOWA,8,38,7,31,3.88,13,1,Rushing
"Joe Milton",MICH,7,41,10,31,4.43,23,1,Rushing
